愛,あい,憎,ぞう
愛好,あいこう,嫌悪,けんお
愛嬢,あいじょう,愛息,あいそく
哀悼,あいとう,祝賀,しゅくが
曖昧,あいまい,明確,めいかく
会う,あう,別れる,わかれる
合う,あう,離れる,はなれる
仰ぐ,あおぐ,俯く･伏す･蔑む,うつむく･ふす･さげすむ
仰向く,あおむく,俯く,うつむく
赤字,あかじ,黒字,くろじ
暁,あかつき,黄昏,たそがれ
明るい,あかるい,暗い,くらい
上がる,あがる,下りる･下る･下がる,おりる･くだる･さがる
秋口,あきぐち,春先･晩秋,はるさき･ばんしゅう
開く,あく,閉まる,しまる
悪,あく,善･良,ぜん･りょう
悪意,あくい,好意･善意,こうい･ぜんい
悪行,あくぎょう,善行,ぜんこう
悪妻,あくさい,良妻,りょうさい
悪質,あくしつ,良質,りょうしつ
悪手,あくしゅ,好手,こうしゅ
悪臭,あくしゅう,芳香,ほうこう
悪政,あくせい,仁政･善政,じんせい･ぜんせい
悪声,あくせい,美声,びせい
悪性,あくせい,良性,りょうせい
悪玉,あくだま,善玉,ぜんだま
悪天,あくてん,好天,こうてん
悪人,あくにん,善人,ぜんにん
悪筆,あくひつ,達筆･能筆,たっぴつ･のうひつ
悪評･不評,あくひょう･ふひょう,好評,こうひょう
悪夢,あくむ,吉夢,きちむ
悪友,あくゆう,良友,りょうゆう
悪用,あくよう,善用,ぜんよう
悪例,あくれい,好例,こうれい
明け,あけ,暮れ･宵,くれ･よい
揚げる,あげる,降ろす,おろす
浅い,あさい,深い,ふかい
朝駆け,あさがけ,夜討ち,ようち
朝霧,あさぎり,夕霧,ゆうぎり
朝餉,あさげ,夕餉,ゆうげ
朝寒,あささむ,夜寒,よさむ
朝露,あさつゆ,夜露,よつゆ
浅手,あさで,痛手･深手,いたで
朝日,あさひ,夕日,ゆうひ
朝靄,あさもや,夕靄,ゆうもや
朝焼け,あさやけ,夕焼け,ゆうやけ
足,あし,手,て
温かい,あたたかい,冷たい,つめたい
暖かい,あたたかい,寒い,さむい
新しい,あたらしい,古い,ふるい
当たる,あたる,外れる,はずれる
悪化,あっか,好転,こうてん
